product_description,store,Sum_dollar_sales,Per_Female_21,Per_male_21,Per_age_21_below,Per_age_22_34,Per_age_35_44,per_age_45_54,per_age_55_64,Per_age_65_above,Per_income_low,Per_income_mid,Per_income_High,Per_asian_21_plus,Per_Hisp_21_plus,Per_AFAM_21_plus,Per_white_21_plus,store_zip_code,Total_Sales_in_the_TA,Product_dollar_sales,Cumm_Sales,Sales_contribution,target_variable
AJ BUTTERMILK PANCAKE MIX,309,299.85,0.527359341,0.472640659,0.246637351,0.152709519,0.130658303,0.129332644,0.144173564,0.204119245,6.77E-02,0.253556648,9.52E-02,5.87E-02,3.43E-02,7.93E-02,0.591082514,40241,299.85,95924.56,115486.62,1.203931715,0
AJ BUTTERMILK PANCAKE MIX,136,299.63,0.536020325,0.463979675,0.245271368,0.136106597,0.108449789,0.130191745,0.15398115,0.229346766,8.88E-02,0.21121222,6.66E-02,2.97E-02,5.17E-02,0.323464413,0.358563536,30214,299.63,95924.56,115786.25,1.207055315,0
AJ BUTTERMILK PANCAKE MIX,154,299.42,0.527553368,0.472446632,0.25153669,0.201361498,0.123996396,0.130223246,0.134588047,0.158153969,0.176514166,0.174752227,1.84E-02,5.57E-03,1.45E-02,0.645530083,7.99E-02,30032,299.42,95924.56,116085.67,1.210176726,0
AJ BUTTERMILK PANCAKE MIX,357,298.43,0.51882187,0.48117813,0.256413359,0.135204905,0.119917715,0.135971281,0.152549209,0.204622459,0.107171668,0.242537915,4.57E-02,3.95E-03,4.09E-02,3.52E-02,0.675379155,40383,298.43,95924.56,116384.1,1.213287817,0
AJ BUTTERMILK PANCAKE MIX,32,296.59,0.551234165,0.448765835,0.319994316,0.167066304,0.142111153,0.143389993,0.106587805,0.116108062,0.111188078,0.206355127,1.36E-02,5.97E-03,3.41E-02,0.351290386,0.293902417,30016,296.59,95924.56,116680.69,1.216379726,0
AJ BUTTERMILK PANCAKE MIX,15,17.52,0.517865939,0.482134061,0.261066779,0.170040599,0.123253535,0.127733445,0.12902142,0.188352233,0.184908302,0.174856503,2.82E-02,6.19E-03,4.24E-02,0.16351673,0.532941341,30161,296.23,95924.56,116976.92,1.219467882,0
AJ BUTTERMILK PANCAKE MIX,218,278.71,0.517865939,0.482134061,0.261066779,0.170040599,0.123253535,0.127733445,0.12902142,0.188352233,0.184908302,0.174856503,2.82E-02,6.19E-03,4.24E-02,0.16351673,0.532941341,30161,296.23,95924.56,117273.15,1.222556038,0
AJ BUTTERMILK PANCAKE MIX,342,291.09,0.518300555,0.481699445,0.282637258,0.270155298,0.162082409,0.115783919,9.26E-02,7.35E-02,0.112240722,0.244200573,2.05E-02,3.53E-02,0.109957568,0.24375902,0.359069076,37013,291.09,95924.56,117564.24,1.22559061,0
AJ BUTTERMILK PANCAKE MIX,263,287.66,0.524636641,0.475363359,0.263337387,0.174509597,0.123089938,0.126526728,0.13488077,0.177602707,0.136731349,0.230397081,1.51E-02,5.08E-03,1.85E-02,3.25E-02,0.681224555,40272,287.66,95924.56,117851.9,1.228589425,0
AJ BUTTERMILK PANCAKE MIX,163,287.61,0.535610576,0.464389424,0.280751896,0.131691767,0.114323403,0.161371881,0.148345608,0.162718479,8.47E-02,0.218478619,4.45E-02,5.09E-02,5.38E-02,0.20602946,0.419616357,30078,287.61,95924.56,118139.51,1.231587719,0
